"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Models\community.dart", "Dart", 15, 0, 3, 18
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Models\expense.dart", "Dart", 30, 0, 3, 33
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Models\objects.dart", "Dart", 24, 0, 3, 27
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Models\service.dart", "Dart", 27, 0, 3, 30
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Models\user.dart", "Dart", 21, 0, 3, 24
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Pages\add_from_pages\add_from_community_page.dart", "Dart", 42, 0, 7, 49
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Pages\add_from_pages\add_from_object_page.dart", "Dart", 40, 0, 4, 44
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Pages\add_from_pages\add_home_page_floating_button.dart", "Dart", 41, 0, 7, 48
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Pages\auth_pages\login_page.dart", "Dart", 123, 0, 6, 129
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Pages\auth_pages\phone.dart", "Dart", 133, 2, 5, 140
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Pages\auth_pages\signup_page.dart", "Dart", 94, 0, 16, 110
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Pages\auth_pages\verify.dart", "Dart", 148, 6, 15, 169
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Pages\group_member_pages\add_member_page.dart", "Dart", 139, 6, 12, 157
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Pages\group_member_pages\community_info_page.dart", "Dart", 63, 0, 7, 70
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Pages\main_pages\community_page.dart", "Dart", 307, 16, 8, 331
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Pages\main_pages\home_page.dart", "Dart", 321, 3, 13, 337
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Pages\main_pages\landing_page.dart", "Dart", 32, 0, 3, 35
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Pages\main_pages\navigation_page.dart", "Dart", 121, 73, 16, 210
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Pages\main_pages\object_page.dart", "Dart", 111, 9, 4, 124
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Pages\profile_pages\edit_profile_page.dart", "Dart", 103, 0, 12, 115
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\Pages\profile_pages\profile_page.dart", "Dart", 155, 6, 17, 178
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\components\community.dart", "Dart", 108, 33, 10, 151
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\components\expense.dart", "Dart", 82, 0, 7, 89
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\components\member.dart", "Dart", 37, 0, 4, 41
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\components\object.dart", "Dart", 86, 19, 6, 111
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\components\service.dart", "Dart", 73, 0, 7, 80
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\constants.dart", "Dart", 53, 0, 7, 60
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\database\db_communities.dart", "Dart", 67, 0, 16, 83
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\database\db_expenses.dart", "Dart", 48, 0, 15, 63
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\database\db_objects.dart", "Dart", 108, 0, 16, 124
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\database\db_services.dart", "Dart", 53, 0, 15, 68
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\database\db_user.dart", "Dart", 184, 1, 18, 203
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\database\demo.dart", "Dart", 60, 41, 17, 118
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\main.dart", "Dart", 50, 2, 9, 61
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\provider\data_provider.dart", "Dart", 470, 4, 82, 556
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\screens\add_screens\add_community.dart", "Dart", 62, 0, 12, 74
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\screens\add_screens\add_expense.dart", "Dart", 167, 9, 31, 207
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\screens\add_screens\add_object.dart", "Dart", 103, 2, 18, 123
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\screens\add_screens\add_service.dart", "Dart", 153, 7, 28, 188
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\screens\add_screens\resolve_expense_service.dart", "Dart", 210, 10, 25, 245
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\screens\objects_screens\object_expense.dart", "Dart", 45, 0, 7, 52
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\screens\objects_screens\object_service.dart", "Dart", 45, 0, 4, 49
"c:\Users\aksha\OneDrive\Desktop\DEP_MAIN\hello_world\lib\widgets\profile_list_item.dart", "Dart", 53, 2, 4, 59
"Total", "-", 4407, 251, 525, 5183